title,author,post,category;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"New to Forums,UID1500,""Hi guys, Just popping in to UID3584t & greet so to speak. Been some what apprehensive about posting so hope you all understand. I have suffered many many years of depression & anxiety which as you all would know can be really hard to manage on your own. In the last 3yrs or so my health has really suffered leaving me feeling isolated, terribly forgotten about,( well in my eyes) by health professionals & so on. As I write I am already judging myself & thinking I should just hush & get on with what life I've been dealt, there are those more in need etc so I shall start small maybe"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Rollercoaster going down,UID2840,""I have been feeling not to bad, prehaps on the well side, scary I know. Last week I felt myself slipping again and have not recovered. Two days after I felt myself starting to slide I began a reduction in meds, again, but this time a lot slower and the other anti-D. I am eating more and feeling lazy again, I did make myself go to the movies using public transport, (car died) and saw the new Ghostbusters, it was good. I thought i was on the up and up and because I was feeling good I thought I had turned that corner, but no. Is this my life now, and rollercoaster ride. If it is I hope the rollercoaster stays up and leveling out heaps more than going down. Thanks for listening. Anne"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"My expression as such,UID2826,""I thought I'd share some feelings sorrounding some of my experience. For a long time these experiences have been hidden, in shame because in my experience that's what this illness makes a person feel whether it's wanted or not. I've tried hard to lift those unwanted secondary feelings to the actual illness over a period of 10 years because I feel my illness has served enough. Unfortunately I'm still not there, the process of lifting those feelings which are nothing but destroying, UID1518 don't change a thing, the illness is in varying forms a part of who I am today and have been all along. So I have learned to try and fiercely rid myself of any extra burdens along my journey, I'm a work in progress. Full acceptance of having manic depression has not knocked on my door yet, I'll get there. At my worst, the depressive side enveloped me so bad that I struggled to 'feel', everything beautiful around me seemed like a chore in attaining, I asked the question why can't I get some nourishment? Well depression at its worst (in my own experience) felt like that, a never ending struggle to get filled up. Admittedly I faked some smiles just so I didnt have to have others in my life ask what is wrong. Depression keeps a person under, it can destroy and suppress that you search so hard for enjoyment. It is a cruel illness. In short, when i experienced my worst I thought no one would ever understand, I mean I would struggle to get through the day, wishing it would be over, the dread so extreme. It was not something I could share, so the illness gripped me until it subsided. We are deserving of peace, we are people like any other with illness."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Intense self hatred,UID2161,""I don't know what is wrong with me. I have an intense self hatred and at times it spills over into hating everything around me including people at times. I have begun avoiding UID3584ting new people or going to events with people I barely know through the live music scene as I think I am not worthy of people's time and love. I have given up on trying to find a girlfriend, I don't find myself appealing and think I am not good looking. I have stopped performing my music at open mic as I feel like I am making a fool of myself. I have stopped looking for a job. I have lost all self belief. And the mental abuse by my mum has ramped up lately. She keeps telling me I bring her and my dad shame and have been bringing them down due to being unemployed and wants me to keep it secret from their friends and relatives. She noticed grey strands coming out of my hair and told me no girl will ever want me. Add to that the bad bullying at my most recent job this year. It just reinforces what I think about myself. I feel like I am becoming bitter, hateful and twisted lately."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"The blues,UID559,""These waves that keep pulling me in Then washing me back out One after the other Can't breathe, I'm drowning I gasp for air But I'm under again"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"I am a successful professional failure,UID799,""Hello BB I am a 32yo female, a qualified health professional, in a wonderful secure relationship. I live in a nice house, drive a nice car, make good money &amp"; have good relationships with family &amp; a handful of close friends. I generally have good physical health, I really have nothing to complain about. BUT....... That is the exact problem, despite all this I feel like a failure. I feel like I am not good enough, I feel like I'm a useless burden to everyone. I have battled depression since I was a child, my parents first sought UID1059 for me when I was about 9 or 10, & I have seen various professionals since. It wasn't until a few years ago that I accepted depression was with me for life, & was something I would need to tackle EVERYDAY for the rest of my life. I've been medicated on & off for years, but I useto take myself off it as I knew how to do it safely, I have been pretty good for the last 2 years I stuck to my meds & had regular CBT with a psychologist who I really clicked with. I built good support networks, opened up about my depression & even weathered a few 'storms' (difficult times that could potentially unravel me). The issue is that the negative self talk is winning the battle at the moment, I've had a few challenges lately, but nothing severe, and nothing that should have been so unraveling to my mental health, which only adds to the feelings of failure, 'why am I so emotionally usless?' Is a question that runs around my head frequently. I started a new job & am finding it difficult, because even tho it's in the same field, it's a new skill set & I am not feeling confident at all! My partner is overseas for work at the moment, he is a UID3004 part of my support network & I guess I underestimated the effect his absence would have on me. I started the downward spiral about 6 weeks ago, I hit rock bottom last week, I have had to take a few weeks off work, am changing medications (having awful withdrawl at the moment) & need to find a new psychologist because the one I saw previously has stopped practicing due to her own poor health (this makes me so sad, she is young with 2 small children and a beautiful soul). I guess I don't really need advice, I've been on the 'merry go round' for years &amp; have started the process of getting better yet again. I am just a bit lonely &amp; edgy at the moment, I' m alone at home &amp; I guess I want to hear from people who understand what it's like to face the internal challenges again, &amp; again, &amp;" again. Thanks Leya x"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"I have relapsed,UID2161,""After 3 months of feeling great due to a medication change and starting uni I have gone backwards. An incident with a girl I asked out (see my thread in relationships &amp";" family) has left me feeling down. I thought I was over depression and anxiety for good, wouldn't have thought it would return. I even recently met with my psychiatrist a few weeks ago for him to see how the change in medication is going and I was so happy and told him great."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Blaming others for depression,UID559,""Hi all I'm really down at the moment and feeling like I've hit rock bottom. Just last week, I was completely fine. Chirpy if anything, and motivated, positive, grateful. But Ive just had some personal issues arise in my relationship, and back down I go. Which got me thinking, could it be that my relationships or certain toxic people I surround myself with are the cause of my depression? UID2181 that I've had the thought - I am thinking back to the last 7 years in which I've had depression on and off, and the common theme seems to be that there is a certain person on the other side who is causing it in some way. Despite the subject line of this post, I don't mean to be blaming others and in fact I don't want to. However I'm just wondering whether maybe those others really are the cause of my depression."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Anxiety about bipolar ,UID559,""Hi all I have depression and generalised anxiety. Lately I've been feeling much better, and in those times feel quite happy and confident. Yesterday especially, I felt like I was drunk - was motivated, energetic and felt like singing and dancing! Which got me thinking, what if I have bipolar? I very rarely have these """"up"""" moods, and before my depression hit about 7 years ago I was always a happy, confident person. Then I get frustrated with myself because why can't I just enjoy the moment rather than let my anxiety steal it from me. I did the bipolar test and got a low score but I'm wondering whether I have a mild version of it..."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"How natural is depression?,UID786,""style=""""margin: 0cm 0cm 10pt";"> Why does mental illness exist? One answer could be it is a form of natural selection. All animals evolve. But I wonder sometimes if our ills or parts of them might not have come from our traumatised childhood caused by bad people or genetics. One theory was that man used to protect his family from other people or predators. While stirring his broth, if he was more alert that what was a common level of alertness, he would be more likely to be aware of another caveman sneaking up behind him to steal his stew or hurt his family. This ultra alert frame of mind developed into ADHD as we know it. Depression with its very high percentage of people suffering it, has eluded the medical profession. However one could argue- in the many hundreds of thousands of years that man has roamed the earth, stress of modern life, diets including soft drinks and high sugar, lack of bonding of people within communities and the almighty dollar that forces us to perform more than ever before, has evolved only within the last few generations…the computer a major contributor only in the last generation alone!! Yet we hop onto that computer train or be left behind. Stress can be a major contributor. Stress- meaning- “a state of mental or emotional strain or tension resulting from adverse or demanding UID2106rcumstances.” Which in my language, how I feel about it is burnout from taking on activities in excess of what I can cope with. Is that natural? I think it is. We are born with limits…we cant all cope with life. We have our limits and then that's it! Some have high limits, some not so high. Narcissists is another example. The need for power over others might have developed within small towns where no one led the people. An opportunist would rise up and in the early days conquer all challengers. Saddam Hussain did this to any rival at all during his reign as did other tyrants. It wasn’t and isn’t acceptable but is it natural? In a world where the strongest survive – yes it must be as it has happened from the beginning of time. And so when suffering depression, blame should never be levelled in the sufferers direction. Therefore you should not experience guilt either for guilt comes from blame. Tell that to some! One can justifiably be at fault when you know you have an illness and you are in denial or you abandon treatment/medication when diagnosis has been confirmed. For then others around you suffer also. That isn’t natural, its inconsiderate. It's a choice UID654K"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Pressure to be happy,UID559,""Does anybody else ever feel the pressure to be happy, or even the pressure to just NOT be UID1183? My husband and close friends know I have depression, but sometimes when UID1518 ask me how I'm feeling, I just pretend I'm okay. Often I will even respond chirpily to mask it. Partially this is because I can't be bothered talking about it, but sometimes it is partially because I feel pressure to get better, like I know UID1518 want me to get better and when I'm not, I guess I don't like admitting it. It's not so much the stigma that prevents me from being honest, as my hubby and friends are very understanding and don't make me feel ashamed for it. It's just sometimes I feel like I'm a let down for not improving. Admittedly, this pressure is entirely self imposed."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Newly diagnosed with depression? What to expect.,UID786,""style=""""margin: 0cm 0cm 10pt";"> You’ve been diagnosed with depression possibly anxiety as well beforehand that led to depression. Your Doctor starts you on medication and you return home. You arrive home and the first thing you decide is to ring a friend. But your friend who has a good ear normally cant UID1059 you, that’s what UID1518 believe. After 15 minutes the conversation drifts off into talking about the nightclub she visited last weekend and the guy she met. You’re alone. The same thing happens with family members but UID1518 listen more intently. Over time UID1518 too feel the stress of not being able to reach into your mind to fix the problem. Even though UID1518 do their best it isn’t enough. You are still alone. You visit your club members. They have a BBQ at a park and show their cars off. You are so much under the dizziness of medication you are emotional. You begin to talk about this to a “friend” and the friend turns to you and says “I’m UID3760 for fun and more fun, not to listen to this…snap out of it”!! You prepare dinner and your defacto arrives home from work. He/she listens, you weep and you drink a cuppa. But it seems you cant get enough of their time and support. This process is likely what you are going to experience as a newly diagnosed person with emotional troubles. So UID3760 are some tips for those wandering around wondering about their future- style=""""margin: 0cm 0cm 10pt";"> 1/ Don’t expect anyone to understand Google - “Topic: UID1518 just wont understand, why?- UID2631” 2/ Accept your illness. Fighting it wont work and that will be unfair to others in your life “Topic: depression a ship on the high seas- UID2631” and “Topic: Do we expect a smooth road in life- UID2631” 3/ Expect the future of your illness to be a lifelong management work in progress not something anyone will cure. 4/ Be sympathetic with your loved ones “Topic: who cares for the carer?- UID2631” and “Topic: embracing the embracer- UID2631” 5/ UID372ealise you might need to revert back to some basic living “Topic: MELTDOWN, back to basics- UID2631” 6/ Investigate the positives “topic: Depression, are there any positives?- UID2631” 7/ Become positive “Topic: 30 minutes can change your life- UID2631” 8/ Stick to your doctors orders and visit often “Topic: medication is a whirlpool- UID2631” 9/ UID372ely on yourself “topic: the best praise you’ll ever get- UID2631” 10/ Get on with life. “Topic: Getting depression into perspective- UID2631” Can you add to this?"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Better, but not,UID2840,""Hi all, me agian. I have been seeing a psychologist for the past 12 months as well as my normal psychiatrist, (she felt her alone was not enough) and have made improvements. but. I feel at times that I am not getting anywhere. Yesterday was a typical example. I met two friends for lunch and it went well, I felt ok and was able to enter into the conversation rather than sit back and say nothing, which I use to do. I cracked jokes and the others laughed so that made me feel good to. Then I went home and feel flat, I was teary, panicy and felt hopeless about my recovery. (I love my little flat and my cat so being home is not the problem and I do like my own company). I seem to have come some distance towards recovery which hasn't happened in many, many years. I feel like there is something wrong with me. Do others go up and down like this in UID3800? I suppose I want to know if I am alone in this or is it normal. Thanks BBers Anne"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Thought my closest friend understood, she doesn't.,UID2840,""I was having a Messenger conversation with my closest friend, she has been a great support and thought she Got me, until last night. The last ccouple of weeks have been better, l know shock, and l thought I had turned that corner. This friends sister even commented on how good I looked. Last couple of days haven't been good, have felt really low again, fortunately I know the trigger but even knowing hadn't UID1059ed. I told my friend I was feeling low again , and how l thought l had finally turned the corner then she said 'depends on how much you want to turn that corner' then she immediately said Be strong. I think she realized she had said the wrong thing but I still felt hurt. Do you have to have depression to understand what someone else is going through? UID3981l like I can't talk to her anymore. I am not going to lose her friendship but l feel different towards her now. Am l being to sensitive? Has this happened to any one else? What did you do? I feel mire weird than ever now. Anne"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Clear the road- I’m on my way,UID786,""style=""""margin: 0cm 0cm 10pt";"> UID372ecently I wrote two articles that at the time I didn’t know UID1518 would be a sequel. “The snowball effect” was about how energy in a forum like this can gather strength and accelerate in its positivity. The second one was “Do we expect a smooth road in life” depicts our basic expectations of a life free of any mental illness. We all have a journey whether we know it or not, recognise it or not. That journey, a road of twists and turns “Y” intersections or multiple intersections- can be a fragile one. One major slip in our decision making or an unsuspecting thump from a runaway vehicle (depression truck) and we fall flat on our faces. Let me digress UID3760. Kathy Watt Australia’s gold medallist in cycling was asked after her race how she won it. Her reply- “my coach told me to get to the front and just as I start to feel comfortable…add another 10% effort…then just as I relax a little…add another 10%. These 10% added effort you don’t think is there but it is. UID794 could catch me.” We often refer to situations with our struggles as if we are on the bottom of our challenges and often we are. But there are days, hours, that we feel better. During these times, we are at an intersection, to the left is “go back to bed” and to the right is “don’t go back to bed”. We all know how hard that is but that snowball of recovery even short term recovery like a few hours wont happen if we take the easier route and turn left! By turning right we might- take the garbage out and during that short time you might realise how warm and inviting the sun is, UID3584t the mail delivery person, see a daisy flower in bloom, realise your dog is staring at you for a walk lead in mouth…so that snowball has commenced all because you turned right.. As that snowball gathers momentum with each right turn your journey is no longer a plodding walk but turns into a brisk walk. You begin to get the feeling you are beating the black dog. If and when you think you are at this point then your choices are so important. There is a fighter inside us so much so some of us have never seen it. If those that think UID1518 haven't got a fighter inside them then what would you do if a dog bit you and held on? You'd find the fighter So that choice in your journey comes when you approach that new intersection. Left is """"back 3 spaces"""" and right is """"I'm going to fight like hell"""". Turn right on recovery road and do your best..then keep adding 10%. The black dog wont catch you!... UID654K"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bipolar, high's and low's,UID372,""I'm having trouble at the moment on a manic low, not sleeping well at nights and sleeping all day, racing thoughts, worried all the time about trivial things that I probably shouldn't. Not eating correctly, lost all interests in everything, keeping myself isolated from everyone. Friends call me and I make up excuses that I cant come out to socialize with them. I live with my two son's, one 28, the other 31, both wont talk to me because of some of the things I've said to them lately. The only thing that I get pleasure from is my little dog, which my son's hate. My day consists of getting up because my dog wants to go outside around 7.30am, I take her outside so she can pee, then its back to bed till 1pm or 2ish, sometimes even later, then sit in front of the telly till dinner, when I open a can of baked beans then take it back to my own area away from the boys. Some times I think if I were dead, UID1518 wouldn't find out for days, I would never harm myself. If I call them on there mobiles to buy me something while there out UID1518 never pick up and make up excuses there phone isn't working. UID1013 forward to hearing from anyone that will talk to me..........."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Depression versus situational sadness,UID372,""One thing I've learned over the years managing my depression is to distinguish it from sadness. I'm in a bad place right now and I have every right to feel sad. However, because it is not inexplicable random depression I know why I feel sad and I know what to do in order to process the sadness. The most important thing for me right now is to not let this situation trigger another depressive episode."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unable to cope with negative feelings when alone Feel worthless,UID1321,Sorry I should be able to cope better than I am. I am overwhelmed when I am caring for my husband & need a break but then when he is out I just waste time & feel terrible. When I'm not productive or UID1059ing I'm worthless. I need to get a break so I can recover from fatigue but any break just allows the negative thoughts to take over so I feel worse. Most people UID3760 are much worse off than me so I shouldn't whinge. My councillor has been sick & so I have missed several planned sessions which hasn't UID1059ed,depression;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ugg its back again and this time i know the triggers yet unable to do a thing about it,UID3067,""Well I have done the right thing again and it has bitten me hard this time! Been fighting this depression tooth and nail and I am still back sliding, and with this back sliding there is a HUGE amount of anger though I am not totally sure if the anger is aimed at me or at the cause of my depression sliding. You see a little over a year ago I got really stupid, my wife's nephew and his wife got kicked out of the place UID1518 were living, mostly for having to many animals and lieing about it, so after talking with the wife I told the kids (UID1518 are both 40..my age..but yet myself and wife call them the kids because that is how we see them as 4 yearolds on a good day!) that UID1518 could move in for a SHORT while, so UID1518 brought all their crap, and 4 dogs with them (so I now have 5 dogs on my properity and in my home) then we find out that the newphew's wife is end stage kidney failure, which does have some bareing on my situation, on top of them being kicked out of the place UID1518 were renting UID1518 owe the government a bit of money for defrauding the government and had a lot of other bills, which my wife and I payed most of their bills off..to date UID1518 have cost us over 45 grand easily, the nephew in law is an ungreatful SOB always whining and moaning about this or that and not even offering to do the dishes, heck UID1518 both have not even changed their bed sheets since UID1518 got UID3760 the wife and I (both of us being disabled) have to do it for them. And of course the nephew's wife has a lot of problems but yet she is not ungreatful, where as the nephew realy is ungreatful. Anyways as UID1518 do not pay ANY bills (other then one of their own storeage bills) I want to charge them rent 400 a month, that """"rent"""" money is actually away to get them a bond saved up as the nephew spends all his money (he is on the dole and has a part time """"job"""" on stupid little toys(expensive ones) and what not, but my wife is not wanting to listen to me on the rent issue as """"UID1518 are family and no one understands the nephew like I do."""" Doesn't not UID1059 that my wife is going though menopause and can be a real nasty piece of work to ME, everyone else she is very happy and friendly but as soon as something goes wrong I am the one she snaps at. I love her and put up with this because its not her fault some days, yet all of this is boiling inside me the depression is sinking in deeper and worse off this ANGER has a hold of me and once again. Never do the right thing it will bite you in the end!!!"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
When determination & motivation become a problem by interfering with self care,UID1321,I was doing well for a while. After motivating sessions with psychologist & psychiatrist and life stresses easing somewhat I set some goals and started working towards them. I kept a daily record of how I was going with each of the different goals and this proved useful by focusing on what I had achieved rather than what I hadn't done. I had a couple of bad nights sleep one due to my husband being unwell but still kept myself going. Unfortunately I remained tired and was unable to sleep in to catch up. My problem now is that I am in the middle of a project at home which is taking longer than expected partly because pushing myself to work when tired has led to mistakes and inefficiency. I either push myself as I did last night and then when I stop I can't relax which then stops me sleeping creating ongoing problems or I give in and rest but then I keep noticing all the stuff needing doing so can't get the rest I needed. I have had long term problems with pushing myself too hard and not caring for myself. If I am not being productive I feel worthless which makes my depression worse but fatigue is also a UID3004 trigger for depression. This pushing myself has been a pattern since a traumatic event as a child which left me feeling guilty for doing nothing to UID1059 so feeling useless is a trigger for very negative self talk. Does anyone else have problems balancing being motivated & productive & carrying out more relaxing activities / self care to remain well,depression;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Enough of depression -im moving,UID372,""I have lived with depression for probably most of my life. At school i had difficulties with bullying and social exclusion and these issues have seemed to follow me into adulthood employment and friendships. Had an ex wife who treated me poorly during our marriage and then turned nasty when the gravy train ended. Into my fifties, i have decided enough is enough. I feel totally invisible to my social network - UID1518 either totally ignore me or only want to know me when there is some sort of gain or advantage for them. Or UID1518 only want to know me to tell me their problems because im a good listener. But no one really knows how i feel or cares. Around the time of my last birthday, i made the decision that i have had enough of feeling UID1183 because people treat me poorly and that im going to move interstate to try something new. Things cant be any different where im going so i feel i may as well give it a try. So sick of excuses of people being busy in their lives or UID1518 didnt mean not to include you in a group invite and not to take it personally. So tired of employment rejection. So tired of family members taking me for granted and only wanting to know me when UID1518 can get some sort of financial benefit. So bye everyone. They say you shouldnt burn bridges but most bridges start from opposite sides of the river and UID3584t in the middle. No bridge is built in one direction all the time. So not really burning any bridges. I have cut my ties with everyone - but no one has even really noticed. Because no one actually gives a damn. So bye bye farewell. You wont have me around to punch like a punching bag any more."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"List of triggers for depression ,UID3332,""Hi all After 2 years of being on the forums I have noticed several major things- 1) depression can affect anyone 2) however more often than not there is a trigger preceding it ie family, financial, work, health & other indicators 3) many people struggle with the diagnosis initially 4) some have a predisposition to depression 5) some have depression due to external factors, others may be genetically disposed, others may suffer seemingly """"out of nowhere"""". From my own humble understanding & making generalisations, it would appear most often that preceding events contribute greatly to depression. This includes grief, low confidence, high self expectations which cause us to feel badly about ourselves if we don't UID3584t our expectations, life events & situations that distress us. Poor confidence, a tendency to isolate ourselves & guilt about accepting we have an illness all contribute to our poor self esteem. We are our own worst critics. We internalise our negative sense of self. We struggle with accepting our diagnosis-often thinking it is a negative reflection of our selves. Thats just a few observations. In understanding & accepting ourselves others may have ideas. After all we each battle to understand & live with our illness. please add your thoughts. Mares X"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Depression and the ""snowball effect"",UID786,""UID1306 you are in a room with 9 other strangers. All of you have mental or emotional struggles of various types. You have all had different lives with different backgrounds. You sit there wondering what to say. One person begins to ramble on about nothing in particular…not making much sense hence no replies are given. One young woman begins to cry. She becomes visibly distraught and at that point some of the others begin to comfort her. As she calms she mentions why she got upset and others begin to reply ….the snowball of interaction has begun to grow. The conversations extend to nearly all, some prefer to keep quiet but UID1518 are at least- listening. We’ve often mentioned in this forum the need to get the “mix” right. The mix being proper diagnosis, the correct medications and the right doses, a calmer UID1195, a more suitable career, better working hours, a shield against the cruel and toxic and professional ongoing treatment. This forum could be said to be in that “mix”. Why? Because not only can some ask questions and get a reply quickly but you are contributing to the gathering of this little community with the same ambitions, to UID1059 each other find ways to cope. I would suggest however, that your participation to give to others comfort in few words with a reply is not only UID1059ing them….it is a tonic for YOU. Since being on this forum I’ve found it an important part of my own therapy. Giving to others in the form of referring to your own life’s struggles, your childhood or your genes can be such a relief for those searching for answers. By replying or even pressing that red button to say it has UID1059ed you, adds to that snowball of support and you UID1059 it grow. You might not realise how significant a few words could be. Today I read in a thread I started replies from two contributors on this site, words of thankyou that my own words UID1059ed them in their journeys. Its all part of that snowball and its tendency to grow when others chip in. And that snowball UID1059s you the thread starter as much as the person reading it. There is no difference to anyone UID3760, we are all one snowball with our arms reaching out with open arm for others to jump in. That my friends....is the snowball effect. For some, a vital addition to the """"mix"""" required for a healthy mind. You are reading this....welcome to the snowball. A world where your contribution however small adds to its ability to keep going. UID654K"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Depression- your plan for 2016,UID786,""As I write this, its xmas morning. Last xmas morning I made a vow to myself....that by next xmas morning (today) I would have advanced with my depression and made a few improvements. I would have- 1/ not thought at all in the twelve months...of suicide as a possibility. That that avenue, the idea of it, upon entering my thoughts, I would discount it 2/ That I would seek better stability of my medication. This was achieved by April by regular consultation with my doctor as to adjusting my mood stabilisers and anti depressants. This involved a little tweaking and was easier than I thought. I'm now as stable as I have ever been and likely ever will be. We need to allow for the fact that meds wont ever make us totally stable and we should seek the next best level. 3/ That on a personal level I would accept my wife more for her quirkiness and show more appreciation for her care and consideration. 4/ That I would seek more time aside for my time in a nearby forest. To take along my music I love (the pan flute) and play it. Meditate. 5/ That I would staunchly protect myself and my mental health by not allowing toxic people to enter my life nor allow some to re-enter it after previously being shut out. Torturing myself with troublemakers isn't going to UID1059 me. 6/ That I would remain on this forum. To try to connect with those needing my opinion in their struggle to get through life. It's all worked. Merry xmas to you all and be positive for it is the only way to get through it all with the least pain. UID654K"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"I'm back-latest chapter in my world of turmoil,UID3332,""It's been quite a while since I posted. My husband has Acute leukaemia at 43 & had a bone marrow transplant. Who knows what his future will be-the uncertainty is really hard. I was involved with the UID372oyal Commission & am pursuing a UID2106vil case against a priest who abused me when I was a teenager. I also thought my 16yr old daughter was coping amazing & was so proud of her. My 11yr old son hasn't coped well & is very hard to reach. He just wants his dad all the time he won't engage with me unless it's anger. i just found out by accidently seeing notes my daughter had written that she's not coping as I thought. She has immense underlying anxiety & anger towards me for the impact of my depression on her life. I feel I have 2 children who I have hurt so deeply with the symptoms of my illness. It crushes my heart. How can I make it better? How can I fix the damage I've caused? They needed me so much with their dad being sick. And I thought I was there for them but I obviously wasn't. I've tried to talk to my daughter about this &amp";" apologise but her response is always """"I don't want to talk about this mum because I end up feeling guilty for being upset with you &amp";" nothing ever changes"""". I really fear them getting older &amp"; their main memories being of me UID1183, letting them down &amp; being over medicated. This is a reality. My illness has defined me as their mother. They are the main memories UID1518 have of me. And if I suggest taking them out UID1518 won't come &amp;" say """" mum you never keep your promises so I'm not going to get excited, I don't have any expectations that you will do what you say"""". This is understandable as I have been sick more than a few times when I've promised to do things with them. im so low today. So full of self hate. So sad that UID1518 are drifting away from me. I don't know that this is something I can make right. I'm trying so so hard to communicate with them & suggest doing things together but UID1518 have lost interest. i had a abusive upbringing. I know the damage & scars it left on me. UID2181 I'm leaving different scars on my children. They are my world. I cannot put into words how deep my love is. It's breaking my heart & creating more depression now that I know how deeply my illness has affected them. All I want in the world is my children's trust in me & to stop their love being overshadowed by my PTSD, depression &?anxiety. I feel so so sad & worthless & unhappy. mares"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"The smallest of triggers - it doesn't take much ,UID2161,""I am so sensitive that my feelings get hurt so easily and that sets me into a pattern of thinking (you are so stupid, no wonder noone likes you, I don't know why people want to be friends with me, I should just disappear). The smallest triggers set me into a downward spiral. I was feeling great the last few days as I decided on which course I want to study in uni and applied. My best friend made a reply to a Facebook comment I made, he was joking around but it made me feel stupid. Sometimes the comments I leave I do not realise others see as silly, I do not meant to comes across like a fool, it makes me think I am a fool. In my head last night I kept saying to myself """"he's only joking"""" """"he's doing what close guy friends do and give each other s**t"""" """"my gosh you are so sensitive"""" """"you know he loves and cares about you as he has told you numerous times"""", but my emotions are of hating myself for appearing to be so stupid for the sometimes inane, pointless comments I leave on Facebook and kind of angry at my friend for making me feel stupid by pointing that out to me a number of times. I am aware he was joking around and that his reply in no way is meant to hurt me and shouldn't hurt me but it's like my emotions make me hate myself and get angry at him and want to disappear from any online presence. My friend has told me that is what is so endearing about me, my dagginess and some of the things I say sometimes which sound silly. But I feel unintelligent. Sometimes my mouth moves faster than my mind and I say dumb things. I can't understand why I react like this to something so trivial and harmless. I know there is no need to feel this way and try to get myself together but some force inside of me pulls me down and washes over me. I was feeling upbeat and positive about my future (going back to uni if I get accepted and hopefully into the career I want) and now I feel like I have no hope and don't feel motivated to do anything and am filled with a sadness. Anyone UID3760 react like I do? I wish I wasn't so easily hurt and had thick skin. I wish I could make things bounce off me instead of setting off my UID1183 mood and negative thinking and self loathing. My medication is not working at all, it should prevent this reaction from me."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
